id,doc,line_no,description_text,issue_type,classification,classification_ref,notes
ISS-0127,working/phase1/summaries/docs/to_integrate/STYLE_7.summary.md,43,"**Overlap with testing docs**: Error handling and custom exception patterns have implications for tests and fixtures, which may overlap with `docs/TEST.md` and `docs/to_integrate/TEST_*.md`; coordination is needed when integrating.",Conflicts,CONFLICT,Testing & E2E,Error-handling and custom exception patterns from STYLE_7 will affect tests and fixtures and must be coordinated with docs/testing-guide.md and existing TEST_* content during the Testing & E2E phase to avoid conflicting guidance across testing docs.
ISS-0128,working/phase1/summaries/docs/to_integrate/STYLE_7.summary.md,44,"**Comment density guidance**: There is no explicit guidance on when not to comment (i.e., preferring self-documenting code) or how to avoid over-commenting; this may need to be clarified based on team preferences.",Gaps,CONFLICT,Code Standards & Architecture,Comment-density expectations (when not to comment and preferring self-documenting code) are not yet spelled out; they need to be defined and integrated into docs/code-style-guide.md when consolidating STYLE_7-era commentary guidance.
ISS-0129,working/phase1/summaries/docs/to_integrate/STYLE_7.summary.md,45,**Docstrings vs comments**: The relationship between inline comments and docstrings (outlined in STYLE_1) is not clarified; consolidated style docs should ensure these are consistent and non-contradictory.,Duplicates,CONFLICT,Code Standards & Architecture,"The relationship between inline comments and docstrings, split today between STYLE_1 and STYLE_7, must be explicitly harmonized in the unified docs/code-style-guide.md to prevent overlapping or contradictory rules."
ISS-0130,working/phase1/summaries/docs/to_integrate/STYLE_8.summary.md,44,"**`mypy` not installed**: STYLE_8's strong emphasis on `mypy` (strict mode, hooks, CI) is out of sync with the current project, which does not include `mypy` as a dependency or mention it in any primary docs; a decision is needed on whether to adopt `mypy` or remove/soften this guidance.",Staleness,RESEARCH,Ruff Configuration,STYLE_8’s strong mypy emphasis conflicts with the current Ruff-only toolchain and ADR-0005; additional research is needed to decide whether to add mypy (and how to configure it alongside Ruff) or to revise style guidance to match the existing lint setup.
ISS-0131,working/phase1/summaries/docs/to_integrate/STYLE_8.summary.md,45,"**Pre-commit configuration mismatch**: The recommended multi-repo pre-commit setup conflicts with the actual `.pre-commit-config.yaml`, which relies on a single `local` hook running `uv run lint`; documentation and configuration must be reconciled to avoid confusion.",Conflicts,CONFLICT,Code Standards & Architecture,"The mismatch between the recommended multi-repo pre-commit setup and the actual single local `uv run lint` hook is called out generally in the migration plan (STYLE_7/STYLE_8 into `docs/code-style-guide.md` and `docs/workflow-and-ci.md`), but there is no specific ADR or migration step that explicitly reconciles the exact `.pre-commit-config.yaml` vs. docs guidance; this must be resolved during Code Standards & Architecture doc consolidation."
ISS-0132,working/phase1/summaries/docs/to_integrate/STYLE_8.summary.md,46,**Script section mismatch**: The use of `[tool.uv.scripts]` in examples does not match the project's current `[project.scripts]` usage; STYLE_8 should be updated to reflect how `uv` is actually invoked here.,Conflicts,CONFLICT,Code Standards & Architecture,The documented use of `[tool.uv.scripts]` vs. the actual `[project.scripts]` usage is a doc–config inconsistency not explicitly addressed in ADRs or the migration plan; it will need to be corrected while merging STYLE_8 into `docs/code-style-guide.md` and updating `pyproject.toml` patterns under the Code Standards & Architecture theme.
ISS-0133,working/phase1/summaries/docs/to_integrate/STYLE_8.summary.md,47,"**Duplicate tooling documentation**: STYLE_8 substantially overlaps with `docs/to_integrate/linting-guide.md` and the `README.md` Code Quality section; Phase 2 integration should merge these into a single, authoritative description of the tooling stack.",Duplicates,RESOLVED,Migration §2 – STYLE_8 → docs/code-style-guide.md; docs/to_integrate/linting-guide.md → docs/workflow-and-ci.md; README.md → README.md; docs/README.md,"The migration matrix explicitly merges STYLE_8 into `docs/code-style-guide.md`, moves linting-command workflow details into `docs/workflow-and-ci.md`, and refreshes `README.md`/`docs/README.md`, which together establish a single authoritative description of linting and tooling, resolving the duplication between STYLE_8, the linting guide, and README."
ISS-0134,working/phase1/summaries/docs/to_integrate/STYLE_8.summary.md,48,**Version drift**: Hard-coded tool versions in STYLE_8 do not match `pyproject.toml` and will quickly become outdated; examples should either be updated or rewritten to be version-agnostic.,Staleness,RESEARCH,Ruff Configuration,Hard-coded tool versions in STYLE_8 that diverge from `pyproject.toml` require deciding how to express version guidance (pinning vs. version-agnostic examples) and aligning with the standardized Ruff and tooling setup described in the migration plan; this depends on tooling/versioning best practices and should be treated as a Ruff/tooling configuration research task before updating the docs.
ISS-0135,working/phase1/summaries/docs/to_integrate/STYLE_8.summary.md,49,**Import ordering overlap**: Import ordering guidance duplicates content from STYLE_1 and other style docs; consolidated style documentation should avoid conflicting rules and pick a single source of truth.,Duplicates,RESOLVED,Migration §2 – STYLE_* → docs/code-style-guide.md (STYLE-IMPORTS red flag),"The migration plan explicitly calls out resolving STYLE import-ordering conflicts (e.g., `STYLE-IMPORTS` red flag) by consolidating all STYLE_* import rules into a single section in `docs/code-style-guide.md`, making that doc the single source of truth and eliminating overlapping import-order guidance from STYLE_8 and other style docs."
ISS-0136,working/phase1/summaries/docs/to_integrate/STYLE_8.summary.md,50,**Workflow inconsistency**: STYLE_8's narrative of separate `format` and `lint` commands differs from the reality that `uv run lint` (via `scripts/lint.py`) already executes formatting; documentation should clarify that a single command is the canonical workflow.,Conflicts,RESOLVED,Migration §2 – docs/to_integrate/linting-guide.md → docs/workflow-and-ci.md; README Code Quality,"The migration plan normalizes lint and format commands around `uv run lint` (Ruff format then lint) in both `docs/workflow-and-ci.md` and the updated README, explicitly addressing the `WF-LINT-COMMANDS` red flag; this supersedes STYLE_8’s separate `format` vs. `lint` narrative and clarifies that `uv run lint` is the canonical combined workflow."
ISS-0137,working/phase1/summaries/docs/to_integrate/STYLE_8.summary.md,51,"**Missing Ruff config details**: STYLE_8 mentions that Ruff is configured via `pyproject.toml` but does not reflect this repository's actual settings (e.g., 100-character line length); integrated docs should reference the concrete configuration.",Gaps,RESOLVED,Migration §3 – pyproject.toml & .pre-commit-config.yaml; STYLE_* → docs/code-style-guide.md,"The migration plan mandates standardizing Ruff configuration in `pyproject.toml` (including line length) and aligning `.pre-commit-config.yaml` with ADR-0005, while consolidating style and tooling guidance into `docs/code-style-guide.md`; this ensures the integrated docs will point to and reflect the concrete Ruff config (e.g., 100-character lines), closing the missing-detail gap in STYLE_8."
ISS-0138,working/phase1/summaries/docs/to_integrate/STYLE_8.summary.md,52,"**`TYPE_CHECKING` imports context**: While TYPE_CHECKING usage is shown, the rationale (avoiding import cycles and runtime costs) is only lightly touched on; integration work should ensure this guidance is connected to broader import and typing patterns from other style docs.",Gaps,CONFLICT,Code Standards & Architecture,"The limited rationale around `TYPE_CHECKING` imports in STYLE_8 needs to be woven into the broader import and typing patterns across STYLE_* when merging into `docs/code-style-guide.md` under Code Standards & Architecture; the migration plan notes consolidation of type-hinting and import rules but does not yet specify how `TYPE_CHECKING` rationale will be expanded, so this remains a content gap to address during that consolidation."
ISS-0139,working/phase1/summaries/docs/to_integrate/STYLE_8.summary.md,53,**CI integration specifics**: STYLE_8 vaguely recommends adding `uv run lint` to CI without showing concrete CI configuration; this must be coordinated with `docs/to_integrate/git-workflow.md` and the project's actual CI workflows.,Gaps,CONFLICT,"Workflow, Releases, CI","STYLE_8’s vague `uv run lint` CI recommendation must be reconciled with the concrete CI workflows and branching guidance that will live in `docs/workflow-and-ci.md` and the actual `.github/workflows/*`; the migration plan flags `WF-LINT-COMMANDS` and CI standardization but leaves the exact CI snippet design to Phase 5, so this is an open workflow/CI integration detail to resolve."
ISS-0140,working/phase1/summaries/docs/to_integrate/TEST_7.summary.md,50,"Major duplication with `docs/to_integrate/e2e-testing-guide.md`: both documents cover E2E testing for FastAPI, health checks, live server fixtures, and httpx usage, but the existing guide is project-specific while TEST_7 is generic/tutorial-style.",Duplicates,RESOLVED,Migration §2 – TEST_* and e2e-testing-guide.md → docs/testing-guide.md (Testing & E2E),"The migration matrix explicitly merges both TEST_7 and `docs/to_integrate/e2e-testing-guide.md` into a single `docs/testing-guide.md`, with E2E patterns aligned to ADR-0006; this consolidation is designed to eliminate duplication between the generic/tutorial E2E content and the project-specific guide, making the new testing guide the sole canonical reference."
ISS-0141,working/phase1/summaries/docs/to_integrate/TEST_7.summary.md,51,"Health endpoint path mismatch: TEST_7 assumes `/healthz`, whereas the project exposes a health endpoint under the metadata API namespace (for example `/api/metadata/v1/health`).",Health,RESOLVED,ADR-0007; Migration §4 (API-HEALTH-ENDPOINT),"ADR-0007 defers health endpoint contract decisions and migration_plan.md explicitly calls out resolving conflicting health endpoint guidance (API-HEALTH-ENDPOINT), so the mismatch between `/healthz` and `/api/metadata/v1/health` will be addressed as part of that aligned contract work."
ISS-0142,working/phase1/summaries/docs/to_integrate/TEST_7.summary.md,52,"Fixture naming conflict: TEST_7 suggests fixtures like `api_base_url` and `wait_for_api`, but the project already uses fixtures such as `live_server` and `api_client` in `tests/conftest.py`.",Conflicts,CONFLICT,Testing & E2E,"Fixture naming and usage conflicts between TEST_7’s suggested fixtures and the existing `tests/conftest.py` patterns fall under the Testing & E2E theme, which migration_plan.md assigns to unify fixtures and resolve TEST-FIXTURES-DUP red flags."
ISS-0143,working/phase1/summaries/docs/to_integrate/TEST_7.summary.md,53,"Generic job polling example (`/jobs`, `_jobs` dict) does not reflect the project's actual domain (MCP metadata fetching and related flows).",Testing,CONFLICT,Testing & E2E,The generic `/jobs` polling example needs to be reconciled with this project’s MCP metadata domain and E2E flows; this is test-guidance content that must be rewritten during the Testing & E2E consolidation of TEST_7 into docs/testing-guide.md.
ISS-0144,working/phase1/summaries/docs/to_integrate/TEST_7.summary.md,54,"Overlap with `docs/TEST.md`: the ""When to use TestClient vs real Uvicorn"" guidance appears in both places, with `docs/TEST.md` already providing FastAPI-specific recommendations.",Duplicates,RESOLVED,Migration §2 (TEST_7 → docs/testing-guide.md; docs/TEST.md → docs/testing-guide.md),"Both TEST_7 and docs/TEST.md are scheduled to be merged into docs/testing-guide.md, where overlapping guidance about TestClient vs real Uvicorn will be deduplicated as part of the unified testing guide."
ISS-0145,working/phase1/summaries/docs/to_integrate/TEST_7.summary.md,55,"Missing pytest-check integration: TEST_7 uses plain `assert` statements, while `docs/to_integrate/e2e-testing-guide.md` recommends pytest-check for soft assertions in E2E tests.",Testing,CONFLICT,Testing & E2E,The inconsistency between pytest-check usage recommended in the E2E testing guide and plain asserts in TEST_7 is a testing-strategy conflict to be harmonized under the Testing & E2E theme when integrating TEST_7 into docs/testing-guide.md.
ISS-0146,working/phase1/summaries/docs/to_integrate/TEST_7.summary.md,56,"docker-compose assumptions: TEST_7 positions docker-compose as the primary E2E orchestration tool, but the project's E2E guide focuses on using `scripts/start-server.py` directly without docker-compose.",Env,CONFLICT,Testing & E2E,TEST_7’s docker-compose-first assumption conflicts with the project’s E2E approach (scripts/start-server.py and ADR-0006/Testcontainers) and must be resolved as part of the Testing & E2E theme’s E2E strategy alignment.
ISS-0147,working/phase1/summaries/docs/to_integrate/TEST_7.summary.md,57,"No reference to the existing `@pytest.mark.e2e` marker or patterns like `pytest -m e2e`, which are already documented in the project.",Testing,CONFLICT,Testing & E2E,The missing reference to the existing `@pytest.mark.e2e` marker and `pytest -m e2e` patterns is a gap within testing guidance that needs to be wired into the consolidated docs/testing-guide.md by the Testing & E2E theme.
ISS-0148,working/phase1/summaries/docs/to_integrate/TEST_7.summary.md,58,"Polling helper location ambiguity: TEST_7 suggests placing polling helpers in `tests/utils.py`, while this project appears to centralize shared helpers and fixtures in `tests/conftest.py`.",Conflicts,CONFLICT,Testing & E2E,"TEST_7’s suggestion to place polling helpers in `tests/utils.py` conflicts with the project’s practice of centralizing shared fixtures/helpers in `tests/conftest.py`, and this structural testing-doc conflict belongs to the Testing & E2E theme."
ISS-0149,working/phase1/summaries/docs/to_integrate/TEST_7.summary.md,59,Eventual consistency example is too generic and would need adaptation to project-specific async scenarios such as MCP server metadata fetching with retries.,Gaps,CONFLICT,Testing & E2E,The generic eventual consistency example must be adapted to project-specific async scenarios like MCP metadata fetching with retries; this is a content gap within testing examples that Testing & E2E will fill when tailoring E2E guidance.
ISS-0150,working/phase1/summaries/docs/to_integrate/TEST_8.summary.md,50,"Overlaps with `docs/TEST.md` mocking guidance: both documents describe mocking external dependencies and using `unittest.mock`, but TEST_8 stays generic while `docs/TEST.md` already covers FastAPI-specific patterns like dependency overrides.",Duplicates,RESOLVED,Migration §2 (TEST_8 → docs/testing-guide.md; docs/TEST.md → docs/testing-guide.md),"Migration_plan.md calls for merging both TEST_8 and docs/TEST.md into docs/testing-guide.md, where overlapping mocking guidance will be consolidated into a single FastAPI-specific section, resolving the duplication."
ISS-0151,working/phase1/summaries/docs/to_integrate/TEST_8.summary.md,51,"Overlaps with `docs/TEST.md` fixture section: both recommend fixtures to avoid duplication, yet `docs/TEST.md` already documents project-specific fixtures such as `test_settings`, `test_app`, `client`, and `async_client`.",Duplicates,RESOLVED,Migration §2 (docs/to_integrate/TEST_8.md → docs/testing-guide.md; docs/TEST.md → docs/testing-guide.md),"Fixture guidance overlap is explicitly handled by merging TEST_8, TEST.md, and TESTING_ARCHITECTURE into a single docs/testing-guide.md so project-specific fixtures (test_settings, test_app, client, async_client) become the canonical source."
ISS-0152,working/phase1/summaries/docs/to_integrate/TEST_8.summary.md,52,"Generic examples (`fetch_user`, `UserService`, `create_user_db`) are not aligned with the project's actual domain types such as `MCPManager`, `MetadataItem`, or metadata fetch requests.",Staleness,RESOLVED,Migration §2 (TEST_* series → docs/testing-guide.md),"Generic placeholder examples (fetch_user, UserService, create_user_db) will be rewritten or pruned during the consolidation of TEST_8 into docs/testing-guide.md so examples can align with current domain types like MCPManager and MetadataItem."
ISS-0153,working/phase1/summaries/docs/to_integrate/TEST_8.summary.md,53,unittest-based examples may be misleading if the project relies exclusively on pytest-style tests and functions.,Staleness,RESOLVED,Migration §2 (TEST_* and TESTING_ARCHITECTURE → docs/testing-guide.md),"The unified testing-guide.md will standardize on pytest-style tests already described in docs/TEST.md and TESTING_ARCHITECTURE, demoting or removing unittest-style examples that no longer match the project’s primary testing approach."
ISS-0154,working/phase1/summaries/docs/to_integrate/TEST_8.summary.md,54,"Async testing guidance is incomplete: TEST_8 advises avoiding unnecessary async without explaining how to handle necessary async endpoints, which `docs/TEST.md` already addresses.",Gaps,RESOLVED,"Migration §2 (docs/TEST.md, TEST_8, E2E guides → docs/testing-guide.md)","Async testing guidance will be completed by merging TEST_8 with the existing async coverage in docs/TEST.md and the E2E testing material into docs/testing-guide.md, giving a single coherent section on when and how to test async endpoints."
ISS-0155,working/phase1/summaries/docs/to_integrate/TEST_8.summary.md,55,"Coverage and quality themes overlap with `docs/TEST.md`, which already documents pytest-cov usage and coverage expectations.",Duplicates,RESOLVED,Migration §2 (TEST_* series and docs/TEST.md → docs/testing-guide.md),"Overlapping coverage and quality guidance is consolidated into docs/testing-guide.md, which becomes the canonical place for pytest-cov usage and coverage expectations instead of duplicating the same themes across TEST_8 and docs/TEST.md."
ISS-0156,working/phase1/summaries/docs/to_integrate/TEST_8.summary.md,56,"Temporary resource management guidance uses `tempfile` and `shutil`, but `docs/TEST.md` recommends pytest's `tmp_path` fixture for temporary files and directories.",Conflicts,RESOLVED,Migration §2 (TEST_8 and docs/TEST.md → docs/testing-guide.md),"The migration plan instructs unifying temporary resource guidance in docs/testing-guide.md, resolving the conflict by preferring the project-standard pytest tmp_path fixture over ad-hoc tempfile/shutil patterns from TEST_8."
ISS-0157,working/phase1/summaries/docs/to_integrate/TEST_8.summary.md,57,Test independence advice is generic and duplicates the rationale already described in `docs/TESTING_ARCHITECTURE.md` for fixture scoping and isolation.,Duplicates,RESOLVED,Migration §4 (Red Flag Resolution – TEST-FIXTURES-DUP; TEST_* and TESTING_ARCHITECTURE → docs/testing-guide.md),"Generic test independence advice from TEST_8 will be folded into the existing rationale in TESTING_ARCHITECTURE when both are merged into docs/testing-guide.md, eliminating duplicate explanations of fixture scoping and isolation."
ISS-0158,working/phase1/summaries/docs/to_integrate/TEST_8.summary.md,58,"Assertion style recommendations use plain `assert`, while some parts of the project (for example E2E tests) may prefer pytest-check for soft assertions.",Testing,CONFLICT,Testing & E2E,"The project uses plain assert in many places but some E2E tests may prefer pytest-check; the migration plan does not yet define a single assertion-style policy, so Phase 4 work must decide and document how (or whether) to mix soft assertions with standard asserts."
ISS-0159,working/phase1/summaries/docs/to_integrate/TEST_8.summary.md,59,"Mocking patterns ignore FastAPI-specific mechanisms like `app.dependency_overrides`, which are already covered in `docs/TEST.md` and better aligned with this codebase.",Duplicates,RESOLVED,"Migration §2 (TEST_8, FastAPI testing content → docs/testing-guide.md; ADR-0006 e2e-testing-strategies.md)","FastAPI-specific mocking patterns such as app.dependency_overrides are already prioritized in docs/TEST.md and will be made canonical in docs/testing-guide.md, superseding the more generic mocking advice from TEST_8 that ignores these mechanisms."
ISS-0160,working/phase1/summaries/docs/to_integrate/TEST_9.summary.md,57,"Major overlap with `docs/TEST.md` on running tests: both documents describe pytest commands such as `pytest -k`, `pytest path`, and `pytest path::test_name` for focused runs.",Duplicates,RESOLVED,Migration §2 (TEST_9 and docs/TEST.md → docs/testing-guide.md),Duplicate instructions for running pytest (including -k filters and test selection by path or node id) are addressed by consolidating TEST_9 and docs/TEST.md into docs/testing-guide.md so there is a single authoritative section on test invocation.
ISS-0161,working/phase1/summaries/docs/to_integrate/TEST_9.summary.md,58,"Major overlap with `docs/TESTING_ARCHITECTURE.md`: both sources outline a strategy for placing unit, component, integration, and E2E tests, but TEST_9 uses generic examples while the existing docs are project-specific.",Duplicates,RESOLVED,docs/TESTING_ARCHITECTURE.md,"The existing project-specific TESTING_ARCHITECTURE.md already defines the multi-layer testing strategy (unit, component, integration, E2E), so TEST_9’s overlapping guidance should be treated as redundant and aligned/merged into the current doc rather than added separately."
ISS-0162,working/phase1/summaries/docs/to_integrate/TEST_9.summary.md,59,"Directory structure mismatch: TEST_9 assumes a `src/myapp/` layout, whereas this project uses an `app/` package (for example `app/routes/metadata_router_v1.py`).",Conflicts,RESOLVED,Migration §Testing Docs Layout (app/ vs src/),"The migration work standardizes on the app/ package layout (e.g. app/routes/...), so any TEST_9 references to a src/myapp/ structure should be rewritten or discarded to match the established app/ structure."
ISS-0163,working/phase1/summaries/docs/to_integrate/TEST_9.summary.md,60,"Coverage expectations duplication: TEST_9 promotes an 80%+ coverage target that already appears in `docs/TEST.md`, risking conflicting updates over time.",Duplicates,RESOLVED,docs/TEST.md,"The 80%+ coverage target is already documented in docs/TEST.md, so TEST_9’s separate statement would be removed or rewritten to point at the single source of truth to avoid future drift."
ISS-0164,working/phase1/summaries/docs/to_integrate/TEST_9.summary.md,61,"Shared fixtures location ambiguity: TEST_9 recommends a `tests/fixtures/` directory, but this project centralizes shared fixtures in `tests/conftest.py` (and may not have a `tests/fixtures/` package at all).",Conflicts,CONFLICT,Testing & E2E,"There is a direct mismatch between TEST_9’s recommendation of a tests/fixtures/ directory and the project’s current pattern of centralizing shared fixtures in tests/conftest.py; Phase 3–5 needs to decide whether to introduce a fixtures package, keep the current approach, or document a hybrid pattern."
ISS-0165,working/phase1/summaries/docs/to_integrate/TEST_9.summary.md,62,"Integration test categorization mismatch: TEST_9 suggests organizing integration tests by client/server/middleware, which may not match the actual structure in `tests/integration/` for this project.",Conflicts,CONFLICT,Testing & E2E,"TEST_9’s suggested integration-test taxonomy (client/server/middleware) does not necessarily match the actual tests/integration/ structure, so maintainers must manually reconcile and possibly redefine categories to reflect how this service is actually organized."
ISS-0166,working/phase1/summaries/docs/to_integrate/TEST_9.summary.md,63,"Generic testing patterns (error handling, type guards, transformations) use placeholder types rather than concrete project concepts such as `MetadataItem`, `FetchRequest`, or `MCPManager`.",Staleness,CONFLICT,Testing & E2E,"Generic placeholder types in TEST_9 conflict with the project’s domain (e.g. MetadataItem, FetchRequest, MCPManager); the examples need to be rewritten or discarded so the testing docs speak in the project’s real concepts rather than abstract placeholders."
ISS-0167,working/phase1/summaries/docs/to_integrate/TEST_9.summary.md,64,Debugging guidance is generic Python/pytest advice and does not address FastAPI-specific concerns like debugging async tests or dependency overrides.,Gaps,RESEARCH,Testing Patterns,"The docs currently lack FastAPI-specific debugging and async-testing guidance; additional research is needed on best practices for debugging async tests, dependency overrides, and FastAPI-specific pytest patterns to enrich or replace the generic pytest advice in TEST_9."
ISS-0168,working/phase1/summaries/docs/to_integrate/TEST_9.summary.md,65,Does not mention existing pytest markers (such as `@pytest.mark.e2e`) that may be configured in `pyproject.toml` and used to select subsets of tests.,Gaps,CONFLICT,Testing & E2E,"TEST_9 omits the project’s existing pytest markers (e.g. @pytest.mark.e2e), so the consolidated testing documentation must explicitly document and standardize marker usage based on current pyproject.toml configuration and real marker usage in the suite."
ISS-0169,working/phase1/summaries/docs/to_integrate/TEST_9.summary.md,66,"Recommends mirroring a `src/myapp/` structure in tests, while `docs/TEST.md` already recommends mirroring the `app/` structure (for example `tests/unit/core/test_settings.py` for `app/core/settings.py`).",Duplicates,RESOLVED,docs/TEST.md,"The canonical guidance is already to mirror the app/ package (e.g. tests/unit/core/test_settings.py for app/core/settings.py), so TEST_9’s recommendation to mirror src/myapp/ is superseded and should be dropped or rewritten to match the established app/ mirroring scheme."
